tour_instance_bk,service_date,zone_bk,route_bk,agent_bk,role_in_tour,start_datetime,end_datetime
TOUR_20250401_00001,2025-04-01,BORDEAUX_ZONE_001,ROUTE_0455,AGENT_00834,DRIVER,2025-04-01 08:30:00,2025-04-01 10:57:00
TOUR_20250401_00001,2025-04-01,BORDEAUX_ZONE_001,ROUTE_0455,AGENT_00774,COLLECTOR,2025-04-01 08:30:00,2025-04-01 10:57:00
TOUR_20250401_00001,2025-04-01,BORDEAUX_ZONE_001,ROUTE_0455,AGENT_00394,SUPERVISOR,2025-04-01 08:30:00,2025-04-01 10:57:00
TOUR_20250401_00002,2025-04-01,BORDEAUX_ZONE_002,ROUTE_0362,AGENT_00588,DRIVER,2025-04-01 14:22:00,2025-04-01 17:25:00
TOUR_20250401_00002,2025-04-01,BORDEAUX_ZONE_002,ROUTE_0362,AGENT_00187,COLLECTOR,2025-04-01 14:22:00,2025-04-01 17:25:00
TOUR_20250401_00003,2025-04-01,BORDEAUX_ZONE_003,ROUTE_0063,AGENT_00358,DRIVER,2025-04-01 07:07:00,2025-04-01 08:46:00
TOUR_20250401_00003,2025-04-01,BORDEAUX_ZONE_003,ROUTE_0063,AGENT_00955,COLLECTOR,2025-04-01 07:07:00,2025-04-01 08:46:00
TOUR_20250401_00004,2025-04-01,BORDEAUX_ZONE_006,ROUTE_0361,AGENT_00522,DRIVER,2025-04-01 05:59:00,2025-04-01 08:22:00
TOUR_20250401_00004,2025-04-01,BORDEAUX_ZONE_006,ROUTE_0361,AGENT_00949,COLLECTOR,2025-04-01 05:59:00,2025-04-01 08:22:00
TOUR_20250401_00005,2025-04-01,BORDEAUX_ZONE_007,ROUTE_0085,AGENT_00344,DRIVER,2025-04-01 11:41:00,2025-04-01 14:08:00
TOUR_20250401_00005,2025-04-01,BORDEAUX_ZONE_007,ROUTE_0085,AGENT_00770,COLLECTOR,2025-04-01 11:41:00,2025-04-01 14:08:00
TOUR_20250401_00006,2025-04-01,BORDEAUX_ZONE_008,ROUTE_0252,AGENT_00942,DRIVER,2025-04-01 11:16:00,2025-04-01 14:04:00
TOUR_20250401_00006,2025-04-01,BORDEAUX_ZONE_008,ROUTE_0252,AGENT_00791,COLLECTOR,2025-04-01 11:16:00,2025-04-01 14:04:00
