tour_instance_bk,service_date,route_sk,route_bk,zone_bk,zone_name,city,start_datetime,end_datetime,visited_container_count,zone_container_count,all_zone_containers_visited,planned_distance_m,actual_distance_m,planned_duration_min,actual_duration_min
TOUR_20250401_00001,2025-04-01,455,ROUTE_0455,BORDEAUX_ZONE_001,Bordeaux - Zone 1,Bordeaux,2025-04-01 08:30:00,2025-04-01 10:57:00,13,15,False,23629.94,23730.06,149,147
TOUR_20250401_00002,2025-04-01,362,ROUTE_0362,BORDEAUX_ZONE_002,Bordeaux - Zone 2,Bordeaux,2025-04-01 14:22:00,2025-04-01 17:25:00,15,15,True,28325.38,29730.14,176,183
TOUR_20250401_00003,2025-04-01,63,ROUTE_0063,BORDEAUX_ZONE_003,Bordeaux - Zone 3,Bordeaux,2025-04-01 07:07:00,2025-04-01 08:46:00,13,15,False,18740.74,19002.31,91,99
TOUR_20250401_00004,2025-04-01,361,ROUTE_0361,BORDEAUX_ZONE_006,Bordeaux - Zone 6,Bordeaux,2025-04-01 05:59:00,2025-04-01 08:22:00,13,15,False,22882.88,23677.37,139,143
TOUR_20250401_00005,2025-04-01,85,ROUTE_0085,BORDEAUX_ZONE_007,Bordeaux - Zone 7,Bordeaux,2025-04-01 11:41:00,2025-04-01 14:08:00,15,15,True,36326.64,36004.93,149,147
TOUR_20250401_00006,2025-04-01,252,ROUTE_0252,BORDEAUX_ZONE_008,Bordeaux - Zone 8,Bordeaux,2025-04-01 11:16:00,2025-04-01 14:04:00,12,15,False,32578.32,32110.45,165,168
TOUR_20250401_00007,2025-04-01,242,ROUTE_0242,BORDEAUX_ZONE_011,Bordeaux - Zone 11,Bordeaux,2025-04-01 07:17:00,2025-04-01 09:27:00,10,15,False,30361.15,29971.75,131,130
TOUR_20250401_00008,2025-04-01,328,ROUTE_0328,BORDEAUX_ZONE_013,Bordeaux - Zone 13,Bordeaux,2025-04-01 07:45:00,2025-04-01 10:04:00,11,15,False,27917.97,27639.48,142,139
TOUR_20250401_00009,2025-04-01,257,ROUTE_0257,LILLE_ZONE_001,Lille - Zone 1,Lille,2025-04-01 06:59:00,2025-04-01 09:33:00,16,16,True,16630.81,17420.8,159,154
TOUR_20250401_00010,2025-04-01,154,ROUTE_0154,LILLE_ZONE_002,Lille - Zone 2,Lille,2025-04-01 15:10:00,2025-04-01 17:45:00,13,16,False,33829.43,35380.41,157,155
TOUR_20250401_00011,2025-04-01,448,ROUTE_0448,LILLE_ZONE_003,Lille - Zone 3,Lille,2025-04-01 10:56:00,2025-04-01 12:49:00,11,16,False,17293.83,18187.56,109,113
TOUR_20250401_00012,2025-04-01,383,ROUTE_0383,LILLE_ZONE_006,Lille - Zone 6,Lille,2025-04-01 08:14:00,2025-04-01 10:57:00,12,15,False,37529.65,37172.28,165,163
TOUR_20250401_00013,2025-04-01,463,ROUTE_0463,LILLE_ZONE_008,Lille - Zone 8,Lille,2025-04-01 05:55:00,2025-04-01 08:26:00,13,15,False,35843.8,36375.47,146,151
TOUR_20250401_00014,2025-04-01,498,ROUTE_0498,LILLE_ZONE_010,Lille - Zone 10,Lille,2025-04-01 05:55:00,2025-04-01 08:03:00,12,15,False,28251.19,29012.04,125,128
TOUR_20250401_00015,2025-04-01,204,ROUTE_0204,LYON_ZONE_001,Lyon - Zone 1,Lyon,2025-04-01 06:30:00,2025-04-01 09:44:00,10,16,False,40020.69,40948.81,189,194
TOUR_20250401_00016,2025-04-01,136,ROUTE_0136,LYON_ZONE_002,Lyon - Zone 2,Lyon,2025-04-01 09:19:00,2025-04-01 13:05:00,16,16,True,35075.54,35800.58,228,226
TOUR_20250401_00017,2025-04-01,284,ROUTE_0284,LYON_ZONE_003,Lyon - Zone 3,Lyon,2025-04-01 10:11:00,2025-04-01 11:58:00,10,16,False,35517.34,35894.9,108,107
TOUR_20250401_00018,2025-04-01,461,ROUTE_0461,LYON_ZONE_007,Lyon - Zone 7,Lyon,2025-04-01 07:12:00,2025-04-01 09:24:00,12,15,False,22901.18,23832.89,133,132
TOUR_20250401_00019,2025-04-01,107,ROUTE_0107,LYON_ZONE_009,Lyon - Zone 9,Lyon,2025-04-01 06:11:00,2025-04-01 08:32:00,15,15,True,21308.31,21103.97,143,141
TOUR_20250401_00020,2025-04-01,127,ROUTE_0127,LYON_ZONE_011,Lyon - Zone 11,Lyon,2025-04-01 07:00:00,2025-04-01 08:51:00,10,15,False,25547.43,25424.92,111,111
TOUR_20250401_00021,2025-04-01,306,ROUTE_0306,LYON_ZONE_012,Lyon - Zone 12,Lyon,2025-04-01 07:10:00,2025-04-01 09:00:00,11,15,False,24981.54,24903.15,111,110
TOUR_20250401_00022,2025-04-01,208,ROUTE_0208,LYON_ZONE_013,Lyon - Zone 13,Lyon,2025-04-01 15:05:00,2025-04-01 16:38:00,10,15,False,16550.46,16849.66,94,93
TOUR_20250401_00023,2025-04-01,144,ROUTE_0144,MARSEILLE_ZONE_003,Marseille - Zone 3,Marseille,2025-04-01 10:55:00,2025-04-01 14:04:00,15,15,True,38068.3,37604.82,191,189
TOUR_20250401_00024,2025-04-01,331,ROUTE_0331,MARSEILLE_ZONE_004,Marseille - Zone 4,Marseille,2025-04-01 08:25:00,2025-04-01 11:13:00,13,15,False,25779.29,26933.43,168,168
TOUR_20250401_00025,2025-04-01,495,ROUTE_0495,MARSEILLE_ZONE_006,Marseille - Zone 6,Marseille,2025-04-01 08:02:00,2025-04-01 10:42:00,15,15,True,26440.2,27583.08,155,160
TOUR_20250401_00026,2025-04-01,336,ROUTE_0336,MARSEILLE_ZONE_008,Marseille - Zone 8,Marseille,2025-04-01 09:41:00,2025-04-01 11:38:00,13,15,False,15522.79,15455.2,112,117
TOUR_20250401_00027,2025-04-01,49,ROUTE_0049,MARSEILLE_ZONE_009,Marseille - Zone 9,Marseille,2025-04-01 09:04:00,2025-04-01 12:04:00,15,15,True,34359.25,35747.46,172,180
TOUR_20250401_00028,2025-04-01,317,ROUTE_0317,MARSEILLE_ZONE_010,Marseille - Zone 10,Marseille,2025-04-01 05:55:00,2025-04-01 07:44:00,10,15,False,21715.1,21998.33,99,109
TOUR_20250401_00029,2025-04-01,21,ROUTE_0021,MARSEILLE_ZONE_011,Marseille - Zone 11,Marseille,2025-04-01 09:34:00,2025-04-01 12:08:00,12,15,False,22214.33,22313.41,144,154
TOUR_20250401_00030,2025-04-01,112,ROUTE_0112,MARSEILLE_ZONE_013,Marseille - Zone 13,Marseille,2025-04-01 05:53:00,2025-04-01 08:26:00,14,14,True,20526.89,20171.1,147,153
TOUR_20250401_00031,2025-04-01,103,ROUTE_0103,MONTPELLIER_ZONE_002,Montpellier - Zone 2,Montpellier,2025-04-01 09:05:00,2025-04-01 10:51:00,11,16,False,12041.7,12236.02,102,106
TOUR_20250401_00032,2025-04-01,132,ROUTE_0132,MONTPELLIER_ZONE_003,Montpellier - Zone 3,Montpellier,2025-04-01 06:24:00,2025-04-01 09:10:00,15,15,True,25697.08,25232.75,158,166
TOUR_20250401_00033,2025-04-01,290,ROUTE_0290,MONTPELLIER_ZONE_004,Montpellier - Zone 4,Montpellier,2025-04-01 14:30:00,2025-04-01 16:40:00,11,15,False,39655.3,39681.72,129,130
TOUR_20250401_00034,2025-04-01,417,ROUTE_0417,MONTPELLIER_ZONE_005,Montpellier - Zone 5,Montpellier,2025-04-01 09:14:00,2025-04-01 11:21:00,11,15,False,14452.86,14485.45,133,127
TOUR_20250401_00035,2025-04-01,25,ROUTE_0025,MONTPELLIER_ZONE_007,Montpellier - Zone 7,Montpellier,2025-04-01 11:00:00,2025-04-01 13:11:00,11,15,False,40635.87,40015.87,139,131
TOUR_20250401_00036,2025-04-01,372,ROUTE_0372,MONTPELLIER_ZONE_009,Montpellier - Zone 9,Montpellier,2025-04-01 06:41:00,2025-04-01 09:14:00,12,15,False,29867.5,30193.11,152,153
TOUR_20250401_00037,2025-04-01,343,ROUTE_0343,MONTPELLIER_ZONE_010,Montpellier - Zone 10,Montpellier,2025-04-01 11:59:00,2025-04-01 14:51:00,15,15,True,27970.26,28744.41,180,172
