zone_bk,zone_name,city,population,area_km2,latitude,longitude,etl_date
BORDEAUX_ZONE_001,Bordeaux - Zone 1,Bordeaux,274192,35.08,44.904792,-0.510792,2026-04-19 07:14:37.128444
BORDEAUX_ZONE_002,Bordeaux - Zone 2,Bordeaux,330874,27.56,44.883955,-0.518073,2026-04-19 07:14:37.130260
BORDEAUX_ZONE_003,Bordeaux - Zone 3,Bordeaux,339487,31.26,44.870862,-0.536382,2026-04-19 07:14:37.131983
BORDEAUX_ZONE_004,Bordeaux - Zone 4,Bordeaux,281798,27.51,44.872687,-0.559004,2026-04-19 07:14:37.133786
BORDEAUX_ZONE_005,Bordeaux - Zone 5,Bordeaux,392665,40.59,44.856872,-0.554329,2026-04-19 07:14:37.135429
BORDEAUX_ZONE_006,Bordeaux - Zone 6,Bordeaux,243766,35.17,44.861,-0.577559,2026-04-19 07:14:37.137177
BORDEAUX_ZONE_007,Bordeaux - Zone 7,Bordeaux,278639,21.85,44.844474,-0.576504,2026-04-19 07:14:37.138779
BORDEAUX_ZONE_008,Bordeaux - Zone 8,Bordeaux,257096,25.75,44.861371,-0.607335,2026-04-19 07:14:37.140431
BORDEAUX_ZONE_009,Bordeaux - Zone 9,Bordeaux,290343,30.65,44.830243,-0.590934,2026-04-19 07:14:37.142048
BORDEAUX_ZONE_010,Bordeaux - Zone 10,Bordeaux,324044,33.63,44.802545,-0.583563,2026-04-19 07:14:37.143662
BORDEAUX_ZONE_011,Bordeaux - Zone 11,Bordeaux,389681,27.98,44.809182,-0.61231,2026-04-19 07:14:37.145358
BORDEAUX_ZONE_012,Bordeaux - Zone 12,Bordeaux,326332,33.7,44.801211,-0.618281,2026-04-19 07:14:37.147017
BORDEAUX_ZONE_013,Bordeaux - Zone 13,Bordeaux,248800,20.63,44.782265,-0.616744,2026-04-19 07:14:37.148721
BORDEAUX_ZONE_014,Bordeaux - Zone 14,Bordeaux,227305,22.09,44.772371,-0.642583,2026-04-19 07:14:37.150305
LILLE_ZONE_001,Lille - Zone 1,Lille,285601,29.56,50.678406,2.989521,2026-04-19 07:14:37.162312
LILLE_ZONE_002,Lille - Zone 2,Lille,275409,30.35,50.665229,3.008395,2026-04-19 07:14:37.164245
LILLE_ZONE_003,Lille - Zone 3,Lille,415446,45.89,50.648199,3.019286,2026-04-19 07:14:37.166039
LILLE_ZONE_004,Lille - Zone 4,Lille,343017,23.58,50.619483,3.02537,2026-04-19 07:14:37.167891
LILLE_ZONE_005,Lille - Zone 5,Lille,338120,22.06,50.631153,3.040673,2026-04-19 07:14:37.169770
LILLE_ZONE_006,Lille - Zone 6,Lille,322427,38.93,50.596684,3.0456,2026-04-19 07:14:37.171532
LILLE_ZONE_007,Lille - Zone 7,Lille,370940,41.5,50.599855,3.060391,2026-04-19 07:14:37.173382
LILLE_ZONE_008,Lille - Zone 8,Lille,320483,30.73,50.660317,3.097577,2026-04-19 07:14:37.175092
LILLE_ZONE_009,Lille - Zone 9,Lille,391817,43.16,50.631851,3.099668,2026-04-19 07:14:37.176731
LILLE_ZONE_010,Lille - Zone 10,Lille,440724,35.88,50.631643,3.109417,2026-04-19 07:14:37.178456
LILLE_ZONE_011,Lille - Zone 11,Lille,469216,49.75,50.618086,3.112264,2026-04-19 07:14:37.180211
LILLE_ZONE_012,Lille - Zone 12,Lille,342981,34.94,50.612091,3.119184,2026-04-19 07:14:37.181869
LILLE_ZONE_013,Lille - Zone 13,Lille,299701,28.69,50.590767,3.124668,2026-04-19 07:14:37.183517
LYON_ZONE_001,Lyon - Zone 1,Lyon,230636,22.08,45.834557,4.783934,2026-04-19 07:14:37.195167
LYON_ZONE_002,Lyon - Zone 2,Lyon,376576,28.48,45.819353,4.785484,2026-04-19 07:14:37.197177
LYON_ZONE_003,Lyon - Zone 3,Lyon,357813,32.89,45.816215,4.801488,2026-04-19 07:14:37.198991
LYON_ZONE_004,Lyon - Zone 4,Lyon,320020,36.77,45.807201,4.809768,2026-04-19 07:14:37.200689
LYON_ZONE_005,Lyon - Zone 5,Lyon,369533,34.2,45.805759,4.840856,2026-04-19 07:14:37.202548
LYON_ZONE_006,Lyon - Zone 6,Lyon,208080,26.48,45.788812,4.838536,2026-04-19 07:14:37.204354
LYON_ZONE_007,Lyon - Zone 7,Lyon,463568,36.67,45.770538,4.840225,2026-04-19 07:14:37.206236
LYON_ZONE_008,Lyon - Zone 8,Lyon,379965,31.04,45.755878,4.847535,2026-04-19 07:14:37.208192
LYON_ZONE_009,Lyon - Zone 9,Lyon,344327,36.89,45.75312,4.861363,2026-04-19 07:14:37.210195
LYON_ZONE_010,Lyon - Zone 10,Lyon,351309,30.92,45.743034,4.864217,2026-04-19 07:14:37.213712
LYON_ZONE_011,Lyon - Zone 11,Lyon,366519,33.58,45.719811,4.851508,2026-04-19 07:14:37.215347
LYON_ZONE_012,Lyon - Zone 12,Lyon,306836,30.72,45.711929,4.86429,2026-04-19 07:14:37.217201
LYON_ZONE_013,Lyon - Zone 13,Lyon,388691,28.2,45.695167,4.887257,2026-04-19 07:14:37.218854
MARSEILLE_ZONE_001,Marseille - Zone 1,Marseille,274588,23.01,43.362348,5.424401,2026-04-19 07:14:37.230499
MARSEILLE_ZONE_002,Marseille - Zone 2,Marseille,275008,22.41,43.339955,5.417159,2026-04-19 07:14:37.232229
MARSEILLE_ZONE_003,Marseille - Zone 3,Marseille,376413,43.65,43.352736,5.377823,2026-04-19 07:14:37.234172
MARSEILLE_ZONE_004,Marseille - Zone 4,Marseille,332333,33.19,43.332509,5.379137,2026-04-19 07:14:37.236059
